Country,country_ISO_alpha3,IHH Tier,IHH Data Source,FAO Region,FAO Sub-Region,Fisheries (Inland/Marine),Country Area CFalvo (sq. Km),Proportion_ArcticZone,Proportion_BorealZone,Proportion_SubtropicZone,Proportion_TemperateZone,Proportion_TropicsZone,Proportion_UndefinedZone,Total Population 2018,GDP 2018,HDI 2018,HDI category 2018,GINI 2017,GNI per capita 2018,"Poverty Headcount Ratio 
(@ national poverty lines) 2018 ",Rural Poverty Headcount Ratio (@ national poverty lines) 2015,Literacy Rate 2018,LIFDC_2018,Corruption Perceptions Index 2018,corruption,WGI Control of Corruption Index Standard Error 2018,gov_effectiveness,Government Effectiveness Standard Error 2018,political_stability,Political Stability and Absence of Violence Standard Error 2018,regulatory_quality,Regulatory Quality Standard Error 2018,rule_of_law,WGI Rule of Law Index Standard Error 2018,voice_accountability,WGI Voice and Accountability Index Standard Error 2018,Total Natural Resource Rents (% of GDP) 2017,% of Territorial Waters in MPA 2018,LeastDeveloped_2018,LandLockedDeveloping_2018,SmallIslandDeveloping_2018
Australia,AUS,3,No_AQ_CCS,Oceania,Australia & New Zealand,IM,7718470,1.62E-05,0,0.699370082,0.001524288,0.299081501,7.92E-06,24992369,1.43E+12,0.938,very high,ND,53190,ND,ND,ND,NA,77,1.806201,0.1390601,1.596495,0.2221446,0.9765741,0.211271,1.929283,0.2226358,1.715279,0.1569692,1.428148,0.1455305,7.20768932,40.5594116,NA,NA,NA
Austria,AUT,4,AQ,Europe,Western Europe,I,83914.3,0.00E+00,0,0,1,0,0.00E+00,8847037,4.56E+11,0.914,very high,ND,49260,ND,ND,ND,NA,76,1.596262,0.1451362,1.453342,0.2221446,0.9175232,0.211271,1.544717,0.2226358,1.875834,0.1569692,1.380672,0.1455305,0.13947014,ND,NA,NA,NA
Azerbaijan,AZE,4,AQ,Asia,Western Asia,I,86518.9,0,0,0.014551295,0.534543627,0,0.450905078,9942334,46939529412,0.754,high,ND,4050,ND,ND,ND,NA,25,-0.8286031,0.1404115,-0.1004674,0.2233855,-0.6967331,0.2209855,-0.3807242,0.2163536,-0.6002176,0.1537411,-1.497994,0.1331245,21.01902543,0.436929518,NA,yes,NA
Burundi,BDI,4,No_AQ_CCS,Africa,Eastern Africa,I,25211.1,0,0,0,0,1,0,11175378,3078029929,0.423,low,ND,280,ND,ND,ND,yes,17,-1.450633,0.1615282,-1.419982,0.1908892,-1.597951,0.2293836,-0.982583,0.1831593,-1.496611,0.1501777,-1.651565,0.1372808,16.21077067,ND,yes,yes,NA
Belgium,BEL,4,No_AQ_CCS,Europe,Western Europe,IM,30707.2,0,0,0,1,0,0,11422068,5.32E+11,0.919,very high,ND,45340,ND,ND,ND,NA,75,1.510279,0.1434279,1.171748,0.2221446,0.412356,0.211271,1.233861,0.2226358,1.3679,0.1569692,1.397253,0.1455305,0.018807977,36.65524302,NA,NA,NA
Benin,BEN,3,No_AQ_CCS,Africa,West Africa,IM,115583,0,0,0,0,1,0,11485048,10358985583,0.52,low,ND,870,ND,ND,42.3624,yes,40,-0.3833744,0.1544845,-0.5659866,0.1890158,-0.132421,0.2293836,-0.3391147,0.1831593,-0.6751704,0.1484559,0.2674125,0.1348838,5.757889959,0,yes,NA,NA
Bonaire/S.Eustatius/Saba,BES,4,AQ,Americas,Caribbean,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burkina Faso,BFA,4,No_AQ_CCS,Africa,West Africa,I,274691,0,0,0,0,1,0,19751535,14441763759,0.434,low,ND,660,ND,ND,41.22445,yes,41,-0.112395,0.132053,-0.5783429,0.1907385,-1.040907,0.2195558,-0.3863249,0.1686924,-0.4455683,0.1435532,-0.0432251,0.1244324,19.94201849,ND,yes,yes,NA
Bangladesh,BGD,1,AQ_CCS,Asia,Southern Asia,IM,140747,0,0,0.133256719,0,0.865896569,0.000846712,161356039,2.74E+11,0.614,medium,ND,1750,ND,ND,73.9122,yes,26,-0.9050215,0.133124,-0.7483993,0.2063302,-1.03248,0.2157381,-0.8262727,0.1817709,-0.6402364,0.1495493,-0.7284137,0.1298104,0.655052405,5.3571902,yes,NA,NA
Bulgaria,BGR,4,AQ,Europe,Eastern Europe,IM,111669,0,0,0,1,0,0,7024216,65132951116,0.816,very high,ND,8860,ND,ND,ND,NA,42,-0.1515335,0.1267572,0.2718757,0.1982992,0.4196386,0.211271,0.5765803,0.180271,-0.029567,0.1338652,0.3233821,0.1279276,1.425731175,8.103309945,NA,NA,NA
Bahrain,BHR,4,No_AQ_CCS,Asia,Western Asia,M,762.137,0,0,1,0,0,0,1569439,37746196809,0.838,very high,ND,21890,ND,ND,97.46419,NA,36,-0.1472867,0.1786588,0.1798774,0.2489419,-0.8404424,0.225094,0.4460675,0.2312884,0.4127088,0.1840094,-1.405907,0.1472449,3.515112802,1.242239187,NA,NA,yes
Bahamas,BHS,4,No_AQ_CCS,Americas,Caribbean,M,17149,0,0,0,0,0.998600526,0.001399474,385640,ND,0.805,very high,ND,ND,ND,ND,ND,NA,65,1.131102,0.1760069,0.5391499,0.2917387,0.8721167,0.224247,0.1511079,0.2484729,0.0969947,0.1847173,0.7956346,0.1658501,0.01507732,7.922886205,NA,NA,yes
Bosnia and Herzegovina,BIH,4,No_AQ_CCS,Europe,Southern Europe,IM,51402.4,0,0,0.052460187,0.947539813,0,0,3323929,19781776101,0.769,high,ND,5690,ND,ND,ND,NA,38,-0.5718023,0.1399504,-0.6185398,0.2192134,-0.3923242,0.2235309,-0.2064383,0.1903207,-0.2332111,0.1398785,-0.2435907,0.1312635,1.306671444,0,NA,NA,NA
Belarus,BLR,4,AQ,Europe,Eastern Europe,I,208050,0,0,0,1,0,0,9485386,59662495092,0.817,very high,25.4,5670,5.6,8.7,99.75656,NA,44,-0.1922756,0.1365389,-0.3010303,0.2260143,0.3535319,0.2195558,-0.6600578,0.1903641,-0.8329659,0.1425991,-1.350769,0.1295371,1.377342065,ND,NA,NA,NA
Belize,BLZ,4,No_AQ_CCS,Americas,Central America,M,22813.8,0,0,0,0,0.999926258,7.37E-05,383071,1925000000,0.72,high,ND,4720,ND,ND,ND,NA,NA,-0.138192,0.1985105,-0.5938884,0.319281,0.0156727,0.2330375,-0.6593263,0.2556349,-0.823954,0.1895593,0.4507534,0.1666713,0.99854134,10.07887523,NA,NA,yes
Bermuda,BMU,4,AQ,Americas,North America,M,129.809,NA,NA,NA,NA,NA,NA,63968,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,1.238614,0.4023822,1.387551,0.4585745,1.162025,0.2825343,0.8194681,0.4940268,0.8764146,0.4841593,ND,ND,ND,5.64E-05,NA,NA,NA
Bolivia (PS),BOL,4,No_AQ_CCS,Americas,South America,I,1083920,0,0,0,0,1,0.00E+00,11353142,40287647757,0.703,high,44,3370,34.6,ND,ND,NA,29,-0.62591,0.1260384,-0.3220994,0.2042724,-0.2428411,0.2195558,-0.8945125,0.1845614,-1.14962,0.1498107,-0.0425873,0.1284416,6.925103236,ND,NA,yes,NA
"Brazil (inland & marine, separately)",BRA,1,CCS,Americas,South America,IM,8524050,0,0,0.05212413,0,0.947874814,1.06E-06,209469333,1.87E+12,0.761,high,53.3,9140,ND,ND,93.2275,NA,35,-0.4196956,0.1182229,-0.4474374,0.1831254,-0.3570176,0.211271,-0.3132748,0.1753201,-0.2776436,0.1397771,0.3885686,0.1280941,3.532034204,26.6241067,NA,NA,NA
Barbados,BRB,4,CCS,Americas,Caribbean,M,490.577,0,0,0,0,1,0,286641,ND,0.813,very high,ND,ND,ND,ND,ND,NA,68,1.411373,0.205695,0.4269727,0.3318715,0.9214329,0.2330375,0.5401858,0.2717637,0.3949094,0.1867613,1.12459,0.1642308,0.071083299,0.005846512,NA,NA,yes
Brunei Darussalam,BRN,4,No_AQ_CCS,Asia,South-Eastern Asia,M,5877.6,0,0,0,0,1,0.00E+00,428962,13567099498,0.845,very high,ND,31020,ND,ND,97.21411,NA,63,0.7953077,0.1780641,1.252714,0.2416333,1.201149,0.2209855,0.685179,0.2642237,0.6292501,0.1791468,-0.8432592,0.1656622,17.90640886,0.201102067,NA,NA,NA
Bhutan,BTN,4,AQ,Asia,Southern Asia,I,39626.4,0,0,1,0,0,0,754394,2534965163,0.617,medium,37.4,3080,ND,ND,ND,NA,68,1.646514,0.2041037,0.3588973,0.2648508,1.104605,0.239692,-0.3346259,0.2205652,0.5520926,0.1798081,0.0605407,0.1510144,3.947703367,ND,yes,yes,NA
Botswana,BWA,4,No_AQ_CCS,Africa,Southern Africa,I,577834,0,0,0.077066905,0,0.922933095,0,2254126,18616018903,0.728,high,ND,7750,ND,ND,ND,NA,61,0.7505108,0.1305735,0.3334411,0.1874648,0.9791562,0.2201839,0.454911,0.1684377,0.4664786,0.1435289,0.4747402,0.1271977,1.041649185,ND,NA,yes,NA
Central African Republic,CAF,2,No_AQ_CCS,Africa,Middle Africa,I,620174,0,0,0,0,1,0,4666377,2379716827,0.381,low,ND,480,ND,ND,37.39582,yes,26,-1.233395,0.1701442,-1.720417,0.2011058,-2.281261,0.2339885,-1.367495,0.1860124,-1.687692,0.1557647,-1.188597,0.1374218,13.5760529,ND,yes,yes,NA
Canada,CAN,1,AQ,Americas,North America,IM,9899780,0.212036819,0.357884288,0,0.429997242,0,8.17E-05,37058856,1.71E+12,0.922,very high,ND,44860,ND,ND,ND,NA,81,1.873514,0.1434637,1.716108,0.2221446,0.9911886,0.211271,1.665293,0.2226358,1.770795,0.1547573,1.520857,0.145374,1.729655207,0.871881853,NA,NA,NA
Switzerland,CHE,4,No_AQ_CCS,Europe,Western Europe,I,41268.3,0,0,0.116232298,0.883767702,0,0,8516543,7.06E+11,0.946,very high,ND,83580,ND,ND,ND,NA,85,2.00971,0.1570675,2.039621,0.2221446,1.344863,0.2161918,1.780406,0.2454936,1.931222,0.1675214,1.616422,0.1552453,0.010937101,ND,NA,NA,NA
Channel Islands,CHI,4,No_AQ_CCS,Europe,Western Europe,M,NA,NA,NA,NA,NA,NA,NA,170499,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,ND,NA,NA,NA
Chile,CHL,1,AQ_CCS,Americas,South America,M,781793,0.028607052,0.071830171,0.34215431,0.278760495,0.278626263,2.17E-05,18729160,2.98E+11,0.847,very high,46.6,14670,ND,ND,ND,NA,67,1.012118,0.1223864,1.084034,0.1854095,0.4252459,0.211271,1.343512,0.180271,1.115472,0.1399574,1.054925,0.1293303,11.47792034,28.81445067,NA,NA,NA
China,CHN,1,CCS,Asia,Eastern Asia,IM,9353620,0,0,0.420120673,0.5381829,0.041694678,1.75E-06,1392730000,1.36E+13,0.758,high,ND,9470,ND,ND,96.84089,NA,39,-0.2712442,0.1249812,0.4771284,0.1955121,-0.2610621,0.211271,-0.1350215,0.1753201,-0.2015748,0.1448283,-1.449377,0.129805,1.496189953,5.406831896,NA,NA,NA
Cote d'Ivoire,CIV,4,AQ,Africa,West Africa,IM,322130,0,0,0,0,1,0.00E+00,25069229,43007045466,0.516,low,ND,1610,ND,56.8,47.16535,yes,35,-0.4990963,0.132053,-0.5705186,0.1907385,-0.9311823,0.2195558,-0.1907277,0.1686924,-0.5795925,0.1435532,-0.2161922,0.1255846,3.318173533,0.074565977,NA,NA,NA
Cameroon,CMR,2,AQ,Africa,Middle Africa,IM,464813,0,0,0,0,1,0.00E+00,25216237,38502059858,0.563,medium,ND,1440,ND,ND,77.07104,yes,25,-1.149748,0.1273428,-0.7996525,0.1805988,-1.37598,0.2157381,-0.7993764,0.1665556,-1.079662,0.1387609,-1.104003,0.1242243,6.580438686,3.40964064,NA,NA,NA
Congo Dem. Rep. of the,COD,1,CCS,Africa,Middle Africa,IM,2306320,0,0,0,0,1,0,84068091,47227535291,0.459,low,ND,490,ND,ND,ND,yes,20,-1.503398,0.1433302,-1.554787,0.1877656,-2.116205,0.225771,-1.474037,0.1777096,-1.784221,0.1527795,-1.512408,0.1342701,32.70249674,0.236439195,yes,NA,NA
Congo,COG,1,CCS,Africa,Middle Africa,IM,341800,0,0,0,0,1,0,5244363,11263682694,0.608,medium,ND,1640,ND,ND,80.29876,NA,19,-1.358807,0.1470706,-1.217236,0.1910554,-0.4428181,0.225094,-1.362082,0.1780088,-1.101223,0.1528088,-1.181061,0.1323768,42.66827703,3.211702973,NA,NA,NA
Cook Islands,COK,2,No_AQ_CCS,Oceania,Polynesia,M,926.491,0,0,0,0,0.979644742,0.020355258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,NA,NA,NA,NA,yes
Colombia,COL,4,No_AQ_CCS,Americas,South America,IM,1139710,0,0,0,0,0.99999925,7.49E-07,49648685,3.30E+11,0.761,high,49.7,6190,27,40.3,95.09251,NA,36,-0.3014929,0.1182229,-0.0852262,0.1831254,-0.8133885,0.211271,0.3277881,0.1753201,-0.4078089,0.1397771,0.1913842,0.1280941,4.315007897,17.06988628,NA,NA,NA
Comoros,COM,4,No_AQ_CCS,Africa,Eastern Africa,M,1886.36,0,0,0,0,1,0,832322,1203080508,0.538,low,ND,1320,ND,ND,58.81702,yes,27,-0.8164125,0.2060391,-1.639134,0.2342786,-0.2032647,0.2562913,-1.117265,0.2226099,-1.081078,0.2155484,-0.4373426,0.1525995,2.384124779,0.022636403,yes,NA,yes
Cabo Verde,CPV,4,AQ,Africa,West Africa,M,4632.15,NA,NA,NA,NA,NA,NA,543767,1986928612,0.651,medium,ND,3450,ND,ND,ND,NA,57,0.7682196,0.1708981,0.3192393,0.2058335,0.7472337,0.2347493,-0.2411533,0.2052808,0.4454568,0.1577282,0.9977438,0.156593,0.746739863,0.000676994,NA,NA,yes
Costa Rica,CRI,4,No_AQ_CCS,Americas,Central America,IM,52150.6,0,0,0,0,0.999983555,1.64E-05,4999441,60126014829,0.794,high,48.3,11510,21.1,27.9,97.86379,NA,56,0.5517608,0.1307023,0.3781868,0.2086586,0.4864345,0.2157381,0.479403,0.2076896,0.4787028,0.1536184,1.144658,0.1294525,1.181349064,0.833447452,NA,NA,NA
Cuba,CUB,4,No_AQ_CCS,Americas,Caribbean,IM,117094,0,0,0,0,0.999828436,0.000171563,11338138,ND,0.778,high,ND,ND,ND,ND,ND,NA,47,0.1654153,0.1598049,-0.2448378,0.2468503,0.6523342,0.225094,-1.455965,0.2211003,-0.4443496,0.1815135,-1.444819,0.1385204,0.566472209,4.324950526,NA,NA,yes
Curacao,CUW,4,No_AQ_CCS,Americas,Caribbean,M,NA,NA,NA,NA,NA,NA,NA,159849,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,0.034170931,NA,NA,NA
Cayman Islands,CYM,2,AQ,Americas,Caribbean,M,384.274,NA,NA,NA,NA,NA,NA,64174,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,0.4963436,0.2826696,1.204366,0.3318715,1.149285,0.2831305,0.9785166,0.3641367,0.7744462,0.2123641,0.4919728,0.2493472,ND,0.077673415,NA,NA,NA
Cyprus,CYP,4,No_AQ_CCS,Asia,Western Asia,IM,9626.98,0,0,1,0,0,0,1189265,24469841832,0.873,very high,ND,26300,ND,ND,ND,NA,59,0.6399662,0.1570675,0.9209022,0.2221446,0.543319,0.2161918,1.017323,0.2454936,0.7534632,0.1675214,1.038081,0.1552453,0.015494038,0.122715524,NA,NA,NA
Czech Rep.,CZE,4,AQ,Europe,Eastern Europe,I,78862.2,0,0,0,1,0,0,10625695,2.45E+11,0.891,very high,ND,20260,ND,ND,ND,NA,59,0.5037321,0.1309793,0.9222081,0.2132453,1.040143,0.211271,1.261501,0.1982157,1.04966,0.1409364,0.930312,0.1309706,0.310398012,ND,NA,NA,NA
Germany,DEU,3,AQ,Europe,Western Europe,IM,359774,0,0,0,0.999995765,0,4.24E-06,82927922,4.00E+12,0.939,very high,ND,47180,ND,ND,ND,NA,80,1.946584,0.1434279,1.619633,0.2221446,0.6048951,0.211271,1.749248,0.2226358,1.630446,0.1569692,1.422362,0.1437459,0.068903995,45.35739604,NA,NA,NA
Djibouti,DJI,4,AQ,Africa,Eastern Africa,M,22000.3,0,0,0,0,0.999845563,0.000154437,958920,1965982322,0.495,low,41.6,2180,ND,ND,ND,yes,31,-0.7168093,0.1796275,-0.8990966,0.2128842,-0.1341229,0.239692,-0.7057354,0.1886452,-0.9226128,0.1632201,-1.352054,0.1416328,0.672749698,0.16786746,yes,NA,NA
Dominica,DMA,4,AQ,Americas,Caribbean,M,834.677,0,0,0,0,1,0.00E+00,71625,503646211.1,0.724,high,ND,7210,ND,ND,ND,NA,57,0.5457337,0.2344027,-0.2895034,0.3493173,1.107935,0.2550432,0.0820731,0.2547005,0.6176011,0.2512142,0.8105155,0.2410059,0.06637383,0.105277967,NA,NA,NA
Denmark,DNK,1,AQ,Europe,Northern Europe,IM,47482.6,0,0,0,0.999978078,0,2.19E-05,5797446,3.52E+11,0.93,very high,ND,60190,ND,ND,ND,NA,88,2.147795,0.1451362,1.871631,0.2221446,0.9590668,0.211271,1.67705,0.2226358,1.833378,0.1569692,1.611797,0.1455305,0.513894525,17.84899253,NA,NA,NA
Dominican Republic,DOM,4,No_AQ_CCS,Americas,Caribbean,IM,49021.7,0,0,0,0,1,0,10627165,81298585403,0.745,high,ND,7370,ND,ND,ND,NA,30,-0.74949,0.1229678,-0.4002573,0.191959,0.0347933,0.2157381,-0.0771244,0.1817735,-0.3962312,0.144388,0.1374327,0.1282128,2.525045187,17.95790555,NA,NA,yes
Algeria,DZA,3,No_AQ_CCS,Africa,Northern Africa,M,2317260,0,0,0.880661836,0,0.119338165,0.00E+00,42228429,1.81E+11,0.759,high,ND,4060,ND,ND,81.40784,NA,35,-0.636465,0.1556377,-0.4439246,0.1942946,-0.7937849,0.2209855,-1.263752,0.1984809,-0.7753089,0.1554313,-0.9809838,0.131522,14.70616308,0.085483103,NA,NA,NA
Ecuador,ECU,2,AQ,Americas,South America,IM,258076,0,0,0,0,1,0,17084357,1.08E+11,0.758,high,44.7,6120,23.2,ND,ND,NA,34,-0.5617972,0.1256668,-0.2613976,0.2054188,-0.0747498,0.2157381,-0.8901963,0.2002183,-0.6301615,0.15338,0.0264112,0.1282128,5.509427514,13.34617183,NA,NA,NA
Egypt,EGY,1,CCS,Africa,Northern Africa,IM,985951,0,0,0.939327949,0,0.060668913,3.14E-06,98423595,2.51E+11,0.7,high,ND,2800,ND,ND,ND,NA,35,-0.5869341,0.1305998,-0.5848041,0.1805988,-1.164931,0.2157381,-0.8670051,0.1665556,-0.412311,0.1387609,-1.284183,0.1242243,5.399681487,4.951488842,NA,NA,NA
Eritrea,ERI,4,AQ,Africa,Eastern Africa,M,123052,0,0,0,0,0.99998632,1.37E-05,,ND,0.434,low,ND,ND,ND,ND,76.57052,yes,24,-1.316023,0.1714831,-1.727732,0.2029846,-0.6051562,0.2339885,-2.231222,0.1860124,-1.58643,0.1563079,-2.176343,0.1375619,ND,0,yes,NA,NA
Spain,ESP,1,CCS,Europe,Western Europe,IM,509412,0,0,0.999995967,0,0,4.03E-06,46723749,1.43E+12,0.893,very high,ND,29450,ND,ND,98.4365,NA,58,0.613507,0.1434279,1.002136,0.2221446,0.2548025,0.211271,0.9452896,0.2226358,0.9689376,0.1569692,1.064253,0.1437459,0.101134063,8.374112639,NA,NA,NA
Estonia,EST,4,AQ,Europe,Eastern Europe,IM,46472.4,0,0,0,0.999980436,0,1.96E-05,1320884,30284890757,0.882,very high,ND,20940,ND,ND,ND,NA,73,1.506318,0.1309793,1.191938,0.2132453,0.5999668,0.211271,1.562708,0.1982157,1.240627,0.1409364,1.21297,0.1323162,1.045031311,18.62044238,NA,NA,NA
Ethiopia,ETH,3,AQ,Africa,Eastern Africa,I,1127430,0,0,0,0,1,0.00E+00,109224559,84355462494,0.47,low,ND,790,ND,ND,ND,yes,34,-0.4861672,0.1305998,-0.6074697,0.1808676,-1.343246,0.2157381,-0.9736451,0.1665556,-0.4282891,0.1397717,-1.15887,0.1259813,10.55470921,ND,yes,yes,NA
Finland,FIN,1,AQ,Europe,Northern Europe,IM,341257,0,0.828916203,0,0.171072897,0,1.09E-05,5518050,2.74E+11,0.925,very high,ND,47750,ND,ND,ND,NA,85,2.21243,0.1451362,1.984208,0.2221446,0.9249202,0.211271,1.786545,0.2226358,2.046279,0.1569692,1.612387,0.1455305,0.582211598,10.50996336,NA,NA,NA
Fiji,FJI,1,CCS,Oceania,Melanesia,IM,20932.3,0,0,0,0,0.999553913,4.46E-04,883483,5479504926,0.724,high,ND,5860,ND,ND,ND,NA,NA,0.3809974,0.2755803,0.2595362,0.3493173,0.7425547,0.2638418,-0.2195376,0.290707,-0.1286585,0.2978832,0.2166662,0.1687246,1.640251284,0.924879431,NA,NA,yes
France,FRA,2,No_AQ_CCS,Europe,Western Europe,IM,552170,0,0,0.179922236,0.820074512,0,3.25E-06,66987244,2.78E+12,0.891,very high,ND,41080,ND,ND,ND,NA,72,1.316893,0.1434279,1.480526,0.2221446,0.1091348,0.211271,1.173062,0.2226358,1.440087,0.1569692,1.179415,0.1437459,0.042362577,45.04579539,NA,NA,NA
Faroe Islands,FRO,1,?,Europe,Western Europe,M,1787.01,0.017265333,0.982734666,0,0,0,0.00E+00,48497,ND,NA,NA,ND,ND,ND,ND,ND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,0.010831249,NA,NA,NA
Micronesia Fed. States of,FSM,2,No_AQ_CCS,Oceania,Micronesia,IM,1021.18,0,0,0,0,0.972999568,0.027000432,112640,344501760,0.614,medium,ND,3580,ND,ND,ND,NA,NA,0.6930298,0.3084422,-0.1488629,0.3491045,1.340414,0.2638418,-0.9598854,0.2906961,-0.0186115,0.307847,1.146016,0.2962991,0.036589928,0.01577238,NA,NA,yes
Gabon,GAB,1,CCS,Africa,Middle Africa,IM,265418,0,0,0,0,1,0,2119275,17017401832,0.702,high,38,6800,ND,ND,84.66716,NA,31,-0.8512049,0.1424652,-0.8122834,0.1907385,-0.2475997,0.225094,-0.8840587,0.1780088,-0.7061859,0.1514907,-0.9477494,0.1316689,18.40619085,28.82717662,NA,NA,NA
United Kingdom,GBR,2,CCS,Europe,Western Europe,IM,255556,0,0.000118431,0,0.999870217,0,1.14E-05,66488991,2.83E+12,0.92,very high,ND,41340,ND,ND,ND,NA,80,1.826577,0.1434279,1.341884,0.2221446,0.0487175,0.211271,1.761863,0.2226358,1.638637,0.1569692,1.383976,0.1437459,0.439557623,28.87330555,NA,NA,NA
Georgia,GEO,4,AQ,Asia,Western Asia,IM,70061.5,0,0,0.169869097,0.830130903,0,0,3731000,16209818081,0.786,high,37.9,4130,20.1,ND,ND,NA,58,0.7079911,0.1399504,0.6145709,0.2192134,-0.4264878,0.2235309,1.122732,0.1903207,0.3280484,0.1398785,0.2466903,0.1312635,1.080412794,0.6677561,NA,NA,NA
